drug1,drug2,severity,max_prr,n_conditions
Certolizumab Pegol,Betamethasone,none,20.0,36
Cetirizine,Deferasirox,none,20.0,96
Chlorhexidine,Ranitidine,severe,130.0,659
Chlorthalidone,Terbinafine,none,20.0,11
Cimetidine,Verapamil,severe,60.0,176
Ciprofloxacin,Bromazepam,none,40.0,188
Cisapride,Diltiazem,severe,50.0,91
Clavulanate,Minocycline,none,40.0,125
Clemastine,Labetalol,moderate,90.0,7
Clonidine,Dalfampridine,severe,60.0,76
Clorazepate,Etomidate,none,30.0,14
Clorazepate,Vancomycin,severe,50.0,107
Clozapine,Carbamazepine,severe,300.0,411
Codeine,Phenazopyridine,none,40.0,173
Coenzyme Q10,Calcium Polycarbophil,none,20.0,30
Colistin,Levofloxacin,severe,50.0,16
Cyamemazine,Bromazepam,none,40.0,192
Cyclobenzaprine,Flecainide,none,20.0,109
Cyclobenzaprine,Rituximab,severe,80.0,303
Cyclosporine,Magnesium Oxide,severe,260.0,492
Cyclosporine,Sodium Chloride,none,30.0,270
Cyproheptadine,Levothyroxine,severe,60.0,238
Cytarabine,Gemcitabine,severe,90.0,83
Dabigatran Etexilate,Chlordiazepoxide,none,30.0,23
Dalfampridine,Zinc,none,20.0,29
Dalteparin,Benzydamine,none,40.0,17
Dalteparin,Oxycodone,severe,60.0,350
Darbepoetin Alfa,Hydroxyzine,none,30.0,287
Darunavir,Atorvastatin,severe,90.0,211
Daunorubicin,Naproxen,none,40.0,133
Daunorubicin,Vincristine,severe,320.0,1389
Deferoxamine,Carvedilol,none,20.0,23
Desipramine,Levothyroxine,severe,60.0,194
Dexamethasone,Goserelin,severe,110.0,363
Dexbrompheniramine,Mesalamine,none,10.0,15
Dexlansoprazole,Omeprazole,severe,210.0,359
Dexmedetomidine,Esomeprazole,none,10.0,20
Dexmedetomidine,Linezolid,none,30.0,14
Diazepam,Cimetidine,severe,60.0,402
Diclofenac,Amitriptyline,severe,120.0,1267
Diclofenac,Sulfamethoxazole,severe,60.0,693
Dimethicone,Paclitaxel,none,20.0,13
Diosmin,Naproxen,none,20.0,18
Dipyridamole,Acyclovir,severe,50.0,141
Dipyridamole,Trichlormethiazide,none,40.0,55
Docusate,Cetuximab,severe,140.0,232
Domperidone,Dopamine,none,40.0,60
Dorzolamide,Trazodone,none,20.0,61
Drug_1_Concept_Name,Drug_2_Concept_Name,none,0.0,1
Duloxetine,Bicalutamide,none,20.0,73
Duloxetine,Eszopiclone,severe,110.0,930
Duloxetine,Imiquimod,none,40.0,32
Duloxetine,Polyethylene Glycol 9000,none,40.0,160
Econazole,Phloroglucinol,none,30.0,16
Emtricitabine,Ifosfamide,none,10.0,5
Enalapril,Methimazole,none,35.0,93
Entecavir,Metoprolol,none,30.0,45
Epirubicin,Cetirizine,none,20.0,13
Erlotinib,Sildenafil,none,40.0,34
Erlotinib,Sodium Bicarbonate,none,20.0,23
Erythromycin,Alendronate,severe,70.0,208
Escitalopram,Dronedarone,severe,130.0,104
Escitalopram,Goserelin,none,40.0,146
Esomeprazole,Flunitrazepam,none,40.0,91
Esomeprazole,Testosterone,severe,95.0,682
Estradiol,Clotrimazole,none,40.0,215
Estradiol,Diltiazem,severe,60.0,711
"Estrogens, Conjugated (Usp)",Estriol,moderate,100.0,5
Etanercept,Metoclopramide,none,30.0,300
Etanercept,Tolterodine,none,30.0,190
Ethambutol,Micafungin,none,30.0,21
Exenatide,Sitagliptin,severe,760.0,928
Ezetimibe,"Synthetic Conjugated Estrogens, A",none,20.0,25
Ezetimibe,Vildagliptin,none,30.0,50
Factor Viia,Lorazepam,none,20.0,17
Famotidine,Alprostadil,severe,50.0,59
Famotidine,Megestrol,severe,110.0,610
Felodipine,Dothiepin,moderate,60.0,8
Felodipine,Quinine,severe,70.0,159
Felodipine,Vitamin D,severe,60.0,416
Fenofibrate,Amiodarone,severe,80.0,533
Fenofibrate,Ranibizumab,none,20.0,30
Ferrous Sulfate,Finasteride,severe,100.0,328
Fexofenadine,Saw Palmetto Extract,none,30.0,20
Fexofenadine,Triamcinolone,severe,60.0,1058
Fingolimod,Progesterone,none,30.0,63
Fingolimod,Varenicline,none,20.0,116
Fludarabine,Sirolimus,none,40.0,123
Fluindione,Calcifediol,none,20.0,28
Fluindione,Cholestyramine Resin,severe,50.0,32
Fluindione,Hydroxychloroquine,none,20.0,44
Flunisolide,Atenolol,none,40.0,217
Flunitrazepam,Selenium,none,30.0,11
Fluorometholone,Trimethoprim,none,30.0,42
Fluoxetine,Temazepam,severe,70.0,1166
Fluoxetine,Vincristine,severe,100.0,141
Fluphenazine,Celecoxib,none,20.0,19
Flurbiprofen,Picosulfate Sodium,none,20.0,9
Fluticasone,Bromhexine,none,20.0,39
Fluticasone,Carfilzomib,none,15.0,30
Fluticasone,Fulvestrant,severe,60.0,155
Fluticasone,Taurine,none,30.0,6
Folic Acid,Potassium Chloride,severe,70.0,2303
Folic Acid,Solifenacin,severe,60.0,437
Frovatriptan,Methotrexate,none,20.0,19
Furosemide,Bifonazole,none,30.0,11
Gadodiamide,Calcitriol,severe,260.0,136
Gemfibrozil,Dimethyl Fumarate,none,15.0,25
Gemfibrozil,Verapamil,severe,50.0,431
Gemtuzumab Ozogamicin,Cyclizine,severe,120.0,22
Geranylgeranylacetone,Clobetasol,none,20.0,11
Geranylgeranylacetone,Metoclopramide,severe,50.0,138
Gliclazide,Benfluorex,none,20.0,62
Glimepiride,Omeprazole,severe,110.0,1460
Glucose,Aspirin,severe,132.5,738
Glucose,Pegfilgrastim,none,20.0,17
Heparinoids,Sitagliptin,none,20.0,7
Hydralazine,Abiraterone,none,20.0,18
Hydrochlorothiazide,Clarithromycin,severe,130.0,739
Hydrochlorothiazide,Niacin,severe,57.8571,1198
Hydrochlorothiazide,Red Yeast Rice,none,40.0,73
Hydrocodone,Chlordiazepoxide,severe,50.0,655
Hydrocodone,Morphine,severe,110.0,2744
Hydrocortisone,Prochlorperazine,severe,90.0,738
Hydroxyethyl Starch 130-0.4,Vancomycin,none,20.0,13
Hydroxyzine,Peginterferon Alfa-2B,none,40.0,212
Hydroxyzine,Sunitinib,none,30.0,79
Hypromellose,Lorazepam,none,20.0,43
Ibuprofen,Ergocalciferol,none,30.0,513
Ibuprofen,Zileuton,none,20.0,18
Icosapent Ethyl,Magnesium Oxide,none,40.0,112
Imidapril,Leuprolide,none,30.0,10
Imipramine,Primidone,none,20.0,29
Immunoglobulin G,Memantine,none,20.0,26
Indapamide,Calcium,none,30.0,222
Indapamide,Ticlopidine,none,40.0,47
Indinavir,Acyclovir,none,30.0,64
"Insulin, Aspart, Human",Methimazole,severe,50.0,27
"Insulin, Isophane",Levofloxacin,severe,80.0,552
Isoniazid,Levofloxacin,severe,240.0,466
Isosorbide Dinitrate,Neomycin,none,10.0,26
Isradipine,Pregabalin,none,30.0,43
Lactate,Irbesartan,none,20.0,69
Lactobacillus Casei Rhamnosus,Carbamazepine,none,20.0,49
Lactulose,Ampicillin,severe,45.0,141
Lamotrigine,Levalbuterol,none,40.0,160
Lansoprazole,Clotiazepam,none,40.0,120
Latanoprost,Dimethyl Fumarate,mild,50.0,29
Latanoprost,Naproxen,severe,50.0,293
Lenalidomide,Bortezomib,severe,105.0,1802
Lenalidomide,Potassium Chloride,severe,90.0,1680
Levetiracetam,Buprenorphine,severe,50.0,481
Levetiracetam,Linseed Oil,none,30.0,36
Levetiracetam,Nicorandil,none,10.0,10
Levocetirizine,Meclizine,none,30.0,52
Levodopa,Alfuzosin,none,40.0,76
Levodopa,Selegiline,severe,120.0,623
Levofloxacin,Orlistat,severe,60.0,107
Levothyroxine,Axitinib,severe,100.0,262
Levothyroxine,Pravastatin,none,30.0,2126
Lidocaine,Carbamazepine,severe,70.0,401
Lidocaine,Cevimeline,none,20.0,47
Lisinopril,Azelate,none,10.0,21
Lisinopril,Mefloquine,none,10.0,19
Lisinopril,Vitamin K 2,severe,60.0,136
Lisinopril,Zolpidem,severe,70.0,2683
Loperamide,Ketoprofen,none,30.0,146
Loperamide,Tetracycline,none,20.0,108
Lorazepam,Fusidate,none,10.0,44
Lornoxicam,Pioglitazone,none,10.0,8
Losartan,Clarithromycin,severe,80.0,441
Losartan,Ketoprofen,none,30.0,194
Losartan,Progesterone,none,20.0,102
Lovastatin,Fesoterodine,none,40.0,45
Lovastatin,Imipramine,none,30.0,110
Loxapine,Perindopril,none,10.0,8
Lurasidone,Trazodone,none,30.0,136
Lutein,Zoledronic Acid,none,20.0,40
Lysine,Adalimumab,none,30.0,81
Lysine,Chondroitin Sulfates,none,20.0,33
Lysine,Glucosamine,none,20.0,64
Magnesium Chloride,Baclofen,none,40.0,60
Magnesium Chloride,Urapidil,none,10.0,15
Magnesium Sulfate,Ganciclovir,severe,50.0,56
Maltose,Flunitrazepam,none,10.0,16
Mecobalamin,Standardized Senna Concentrate,severe,50.0,96
Melatonin,Gemcitabine,none,30.0,39
Meloxicam,Sodium Oxybate,severe,50.0,283
Melphalan,Ketorolac,severe,60.0,87
Mesalamine,Verapamil,severe,50.0,224
Metaproterenol,Triamterene,none,20.0,21
Metformin,Estropipate,none,40.0,102
Metformin,Progesterone,severe,53.3333,280
Metformin,Silodosin,severe,70.0,104
Methylprednisolone,Nefopam,severe,160.0,187
Metoclopramide,Gadopentetate Dimeglumine,severe,75.0,88
Metoprolol,Arformoterol,severe,60.0,151
Metoprolol,Sunitinib,severe,180.0,932
Metronidazole,Sulfamethoxazole,severe,100.0,1280
Mirabegron,Oxybutynin,moderate,50.0,103
Mitoxantrone,Bupropion,none,40.0,49
Mometasone,Acebutolol,none,10.0,20
Montelukast,Azacitidine,none,20.0,23
Montelukast,Milnacipran,none,40.0,156
Morphine,Cefepime,severe,160.0,622
Mosapride,Mirtazapine,none,40.0,40
Moxifloxacin,Dapsone,severe,60.0,57
Moxonidine,Cinacalcet,none,30.0,22
Moxonidine,Digitoxin,severe,50.0,101
Mycophenolic Acid,Acyclovir,severe,60.0,196
Nabilone,Fentanyl,none,20.0,62
Nafcillin,Ampicillin,none,20.0,67
Naloxone,Vincristine,none,20.0,90
Naproxen,Acyclovir,severe,70.0,540
Naproxen,Calcium,severe,50.0,1200
Naproxen,Nateglinide,none,30.0,61
Natalizumab,Sodium Chloride,none,40.0,50
Niacin,Diazepam,severe,50.0,479
Nicardipine,Lipase,none,30.0,13
Nicorandil,Carbidopa,none,20.0,19
Nicorandil,Meloxicam,severe,70.0,60
Nitrazepam,Bevacizumab,none,20.0,13
Nitrofurantoin,Miconazole,moderate,50.0,47
Nizatidine,Fentanyl,none,40.0,105
Norethindrone,Fenofibrate,none,30.0,28
Norfloxacin,Pregabalin,none,15.0,28
Nystatin,Dolasetron,none,30.0,68
Obinutuzumab,Granisetron,none,30.0,25
Olanzapine,Clavulanate,severe,50.0,315
Olanzapine,Meloxicam,none,33.3333,268
Olanzapine,Omega-3 Acid Ethyl Esters (Usp),severe,50.0,95
Olanzapine,Tetrazepam,none,20.0,15
Olmesartan,Trichlormethiazide,severe,60.0,273
Omega-3 Acid Ethyl Esters (Usp),Ambrisentan,none,30.0,39
Omega-3 Acid Ethyl Esters (Usp),Haloperidol,none,20.0,27
Omeprazole,Nicergoline,severe,50.0,37
Opium,Furosemide,severe,60.0,65
Oxalate,Pravastatin,none,30.0,13
Oxazepam,Iron,severe,50.0,66
Oxazepam,Sodium Chloride,none,20.0,102
Oxybutynin,Clopidogrel,severe,50.0,740
Oxycodone,Mirtazapine,severe,50.0,1426
Paliperidone,Ondansetron,none,20.0,19
Palonosetron,Pregabalin,severe,60.0,124
Pamidronate,Mirtazapine,severe,210.0,264
Papaverine,Levofloxacin,severe,60.0,37
Papaverine,Sodium Bicarbonate,severe,200.0,63
Paroxetine,Epoetin Alfa,severe,140.0,615
Paroxetine,Piroxicam,none,40.0,252
Pembrolizumab,Potassium Chloride,none,10.0,6
Pentoxifylline,Vitamin A,none,30.0,87
Petrolatum,Metoprolol,none,40.0,135
Phenylephrine,Mometasone,none,20.0,75
Phenytoin,Bicalutamide,none,20.0,52
Phenytoin,Magnesium Oxide,severe,70.0,291
Pioglitazone,Estropipate,none,20.0,22
Pioglitazone,Tetracycline,none,20.0,59
Piperacillin,Atorvastatin,severe,110.0,462
Piperacillin,Sorafenib,none,10.0,20
Placebo,Ketoconazole,none,30.0,18
Pneumococcal Capsular Polysaccharide Type 9V Vaccine,Atenolol,none,10.0,35
Polyethylene Glycol 3350,Hydroxychloroquine,none,40.0,500
Polymyxin B,Micafungin,severe,80.0,89
Potassium Citrate,Clarithromycin,none,30.0,19
Povidone-Iodine,Ranitidine,none,20.0,101
Prazepam,Mirtazapine,severe,70.0,92
Prazosin,Temazepam,none,40.0,96
Prednisolone,Cetylpyridinium,none,10.0,6
Prochlorperazine,Pyridoxal,none,40.0,35
Promethazine,Fluconazole,severe,170.0,1382
Promethazine,Tigecycline,none,20.0,13
Propiomazine,Alfacalcidol,severe,50.0,32
Propofol,Methylphenidate,severe,80.0,19
Propoxyphene,Codeine,severe,95.0,765
Propoxyphene,Spironolactone,severe,145.0,798
Propranolol,Mexiletine,none,20.0,27
Pseudoephedrine,Interferon Beta-1B,none,30.0,65
Pseudoephedrine,Loxoprofen,none,10.0,17
Pseudoephedrine,Sertraline,severe,50.0,640
Pyridostigmine,Ciprofloxacin,none,30.0,58
Pyridoxal,Palonosetron,severe,70.0,36
Quetiapine,Boceprevir,severe,60.0,109
Quinapril,Clarithromycin,severe,60.0,160
Rabeprazole,Ketorolac,severe,60.0,226
Ramelteon,Budesonide,none,20.0,42
Ramelteon,Latanoprost,none,30.0,42
Ramipril,Alendronate,severe,50.0,1111
Ranibizumab,Levalbuterol,none,10.0,15
Rasagiline,Solifenacin,severe,70.0,21
"Regular Insulin, Human",Dimethicone,none,15.0,10
Repaglinide,"Sennosides, Usp",none,20.0,52
Ribavirin,Psyllium,severe,60.0,80
Risperidone,Etonogestrel,none,10.0,18
Risperidone,Fenoterol,none,40.0,16
Risperidone,Olopatadine,none,40.0,89
Ritonavir,Methylphenidate,none,40.0,60
Rivaroxaban,Thiamine,none,30.0,48
Ropinirole,Chondroitin Sulfates,none,10.0,35
Ropivacaine,Mepivacaine,severe,180.0,91
Ropivacaine,Triamcinolone,severe,170.0,55
Rosiglitazone,Chlordiazepoxide,none,30.0,34
Rosiglitazone,Methocarbamol,none,30.0,220
Rosuvastatin,Sodium Chloride,severe,90.0,341
Salmeterol,Betamethasone,none,40.0,299
Saxagliptin,Hydroxyzine,none,20.0,19
Selegiline,Bupropion,none,40.0,53
Sertraline,Sevelamer,severe,230.0,361
Sertraline,Teriparatide,severe,80.0,575
Sertraline,Trimethoprim,severe,60.0,800
Sildenafil,Ursodeoxycholate,severe,80.0,81
Silodosin,Sunitinib,none,30.0,35
Simvastatin,Sunitinib,severe,110.0,814
Sodium Bicarbonate,Ganciclovir,none,40.0,95
Sodium Fluoride,Atenolol,none,20.0,45
Sodium Selenate,Levothyroxine,severe,80.0,289
Sufentanil,Pregabalin,none,20.0,23
Sulbactam,Standardized Senna Concentrate,none,20.0,36
Sulfamethoxazole,Desloratadine,severe,70.0,261
Tamoxifen,Loxoprofen,none,30.0,40
Tamoxifen,Prednisone,severe,110.0,682
Tamsulosin,Axitinib,none,20.0,54
Tamsulosin,Azathioprine,none,40.0,227
Tazobactam,Oxacillin,none,30.0,11
Telaprevir,Dexlansoprazole,none,20.0,38
Telaprevir,Raloxifene,none,20.0,10
Temazepam,Sildenafil,severe,50.0,862
Temozolomide,Insulin Glargine,severe,100.0,63
Terbinafine,Citalopram,severe,130.0,266
Terbutaline,Alprazolam,severe,50.0,125
Teriparatide,Denosumab,severe,80.0,137
Testosterone,Loperamide,none,30.0,199
Tetrazepam,Dipyrone,none,30.0,36
Thyroid (Usp),Chlordiazepoxide,none,20.0,38
Thyroid (Usp),Hydroxyzine,none,20.0,80
Ticagrelor,Methylprednisolone,severe,90.0,216
Ticagrelor,Terbinafine,none,20.0,41
Tinzaparin,Ceftriaxone,none,30.0,65
Tinzaparin,Moxifloxacin,none,20.0,40
Tinzaparin,Tranexamic Acid,none,20.0,15
Tipranavir,Saquinavir,none,40.0,46
Tizanidine,Placebo,none,10.0,10
Tocilizumab,Cefazolin,none,30.0,11
Tocilizumab,Celecoxib,severe,50.0,591
Tofacitinib,Citalopram,none,20.0,58
Topiramate,Darbepoetin Alfa,moderate,60.0,38
Topiramate,Nifedipine,none,40.0,286
Triamterene,Exenatide,severe,60.0,245
Triamterene,Vancomycin,severe,50.0,69
Trimetazidine,Bortezomib,none,20.0,11
Trimetazidine,Sitagliptin,none,30.0,33
Trimethoprim,Atovaquone,none,40.0,74
Trimethoprim,Fusidate,severe,110.0,78
Trimipramine,Flupenthixol,moderate,70.0,30
Triptorelin,Ramipril,none,20.0,14
Urea,Amoxicillin,none,20.0,18
Valacyclovir,Nicorandil,severe,150.0,151
Valproate,Lomustine,severe,90.0,50
Valsartan,Methylsulfonylmethane,none,20.0,38
Valsartan,Thalidomide,severe,70.0,333
Vardenafil,Levofloxacin,severe,50.0,70
Vecuronium,Potassium,severe,90.0,45
Venlafaxine,Carbon Monoxide,none,10.0,8
Venlafaxine,Ethanol,severe,100.0,368
Vitamin A,Amoxicillin,severe,60.0,359
Vitamin A,Clozapine,severe,90.0,129
Vitamin A,Diltiazem,none,40.0,789
Vitamin B 12,Pamidronate,severe,100.0,293
Vitamin B Complex,Azathioprine,none,30.0,70
Vitamin B Complex,Ziprasidone,none,20.0,55
Vitamin D,Arginine,none,20.0,52
Vitamin D,Desvenlafaxine,none,30.0,408
Vitamin D,Sodium Selenate,none,20.0,211
Vitamin E,Cyclosporine,none,20.0,185
Vitamin K,Acyclovir,none,30.0,142
Warfarin,Agalsidase Beta,severe,90.0,228
Warfarin,Cefditoren,none,20.0,15
Zidovudine,Cidofovir,severe,90.0,50
Zoledronic Acid,Chlordiazepoxide,none,40.0,118
Zolpidem,Epoprostenol,severe,130.0,164
Zolpidem,Tibolone,severe,50.0,33
Zonisamide,Carbazochrome,none,10.0,11
